151.114224, -33.969629, "Allawah Station; 1"
151.147332, -33.936402, "Arncliffe Station; 2"
151.185222, -33.8089, "Artarmon Station; 3"
151.125526, -33.88754, "Ashfield Station; 4"
151.108069, -33.68871, "Asquith Station; 5"
151.032739, -33.849213, "Auburn Station; 6"
151.140407, -33.94536, "Banksia Station; 7"
151.034578, -33.91787, "Bankstown Station; 8"
151.124825, -33.931636, "Bardwell Park Station; 9"
151.066346, -33.74978, "Beecroft Station; 10"
150.279372, -33.506594, "Bell Station; 11"
151.088695, -33.917233, "Belmore Station; 12"
151.032231, -33.871917, "Berala Station; 13"
151.153052, -33.623476, "Berowra Station; 14"
150.695126, -34.780255, "Berry Station; 15"
151.081466, -33.948915, "Beverly Hils Station; 16"
151.11343, -33.937546, "Bexley North Station; 17"
151.024018, -33.893343, "Birrong Station; 18"
150.284119, -33.633362, "Blackheath Station; 19"
150.907232, -33.768557, "Blacktown Station; 20"
150.907784, -33.767963, "Blacktown Station; 21"
150.611664, -33.754355, "Blaxland Station; 22"
150.853501, -34.658952, "Bombo Station; 23"
151.248311, -33.890978, "Bondi Junction Station; 24"
150.409868, -33.723218, "Bullaburra Station; 25"
151.104786, -33.877286, "Burwood Station; 26"
150.938834, -33.894904, "Cabramatta Station; 27"
151.102837, -33.91048, "Campsie Station; 28"
150.943954, -33.886846, "Canley Vale Station; 29"
151.118209, -33.911775, "Canterbury Station; 30"
151.122403, -34.041579, "Caringbah Station; 31"
151.046935, -33.782272, "Carlingford Station; 32"
151.124229, -33.968282, "Carlton Station; 33"
150.96147, -33.884328, "Carramar Station; 34"
150.911961, -33.949852, "Casula Station; 35"
151.205899, -33.88372, "Central Station; 36"
151.180889, -33.797651, "Chatswood Station; 37"
151.078539, -33.755684, "Cheltenham Station; 38"
150.999393, -33.883556, "Chester Hill Station; 39"
151.210702, -33.861375, "Circular Quay Station; 40"
151.017391, -33.836247, "Clyde Station; 41"
150.977335, -34.24205, "Coalcliff Station; 42"
151.067954, -34.004254, "Como Station; 43"
151.085534, -33.848857, "Concord West Station; 44"
151.172125, -33.593511, "Cowan Station; 45"
151.151483, -34.055776, "Cronulla Station; 46"
151.115474, -33.883238, "Croydon Station; 47"
151.087236, -33.799823, "Dennistone Station; 48"
151.182744, -33.934118, "Domestic Airport Station; 49"
150.868365, -33.76401, "Doonside Station; 50"
151.140784, -33.91097, "Dulwich Hill Station; 51"
151.033376, -33.803751, "Dundas Station; 52"
150.984784, -33.961801, "East Hills Station; 53"
150.819349, -33.621388, "East Richmond Station; 54"
151.082229, -33.790234, "Eastwood Station; 55"
151.236191, -33.879065, "Edgecliff Station; 56"
150.672264, -33.74557, "Emu Plains Station; 57"
151.01469, -34.067737, "Engadine Station; 58"
151.082152, -33.772991, "Epping Station; 59"
151.18526, -33.900918, "Erskinville Station; 60"
150.956983, -33.872432, "Fairfield Station; 61"
151.58165, -32.982689, "Fassifern Station; 62"
150.534556, -33.695368, "Faulconbridge Station; 63"
151.069794, -33.864885, "Flemington Station; 64"
150.817508, -34.744496, "Gerringong Station; 65"
150.622251, -33.769602, "Glenbrook Station; 66"
150.892959, -33.972288, "Glenfield Station; 67"
151.154481, -33.756092, "Gordon Station; 68"
151.341796, -33.420654, "Gosford Station; 69"
151.012504, -33.8332, "Granville Station; 70"
151.203497, -33.90574, "Green Square Station; 71"
150.984421, -33.854384, "Guildford Station; 72"
151.085445, -34.034864, "Gymea Station; 73"
151.007655, -33.823218, "Harris Park Station; 74"
151.22694, -33.54661, "Hawkesbury River Station; 75"
150.45213, -33.720103, "Hazelbrook Station; 76"
151.008094, -34.087955, "Heathcote Station; 77"
150.994803, -34.176835, "Helensburgh Station; 78"
150.956561, -33.963218, "Holsworthy Station; 79"
151.086395, -33.866815, "Homebush Station; 80"
151.098551, -33.702898, "Hornsby Station; 81"
151.131817, -33.910565, "Hurlstone Park Station; 82"
151.102399, -33.967366, "Hurstville Station; 83"
151.166098, -33.93529, "International Airport Station; 84"
151.064645, -34.016103, "Jannali Station; 85"
150.310006, -33.709903, "Katoomba Station; 86"
150.852651, -34.675089, "Kiama Station; 87"
151.161668, -33.765458, "Killara Station; 88"
151.222343, -33.874832, "Kings Cross Station; 89"
151.10045, -33.940623, "Kingsgrove Station; 90"
150.719793, -33.758246, "Kingswood Station; 91"
151.071158, -34.034978, "Kirrawee Station; 92"
151.132604, -33.962173, "Kogarah Station; 93"
151.318211, -33.46481, "Koolewong Station; 94"
151.076054, -33.920048, "Lakemba Station; 95"
150.64166, -33.77044, "Lapstone Station; 96"
150.428109, -33.719257, "Lawson Station; 97"
150.984919, -33.881476, "Leightonfield Station; 98"
150.335843, -33.711388, "Leura Station; 99"
151.147319, -33.893328, "Lewisham Station; 100"
151.045103, -33.863841, "Lidcombe Station; 101"
150.502314, -33.71479, "Linden Station; 102"
151.168996, -33.775032, "Lindfield Station; 103"
150.136258, -33.478327, "Lithgow Station; 104"
150.927092, -33.925048, "Liverpool Station; 105"
151.051335, -34.045201, "Loftus Station; 106"
151.186331, -33.896621, "Macdonaldtown Station; 107"
150.900156, -33.746421, "Marayong Station; 108"
151.15383, -33.913977, "Marrickville Station; 109"
151.207594, -33.868902, "Martin Place Station; 110"
151.18741, -33.92301, "Mascot Station; 111"
151.090023, -33.816355, "Meadowbank Station; 112"
150.281847, -33.675993, "Medlow Bath Station; 113"
150.992893, -33.836356, "Merrylands Station; 114"
151.211803, -33.845903, "Milsons Point Station; 115"
150.850791, -34.623798, "Minnamurra Station; 116"
151.102492, -34.036289, "Miranda Station; 117"
151.081338, -33.970537, "Mortdale Station; 118"
150.257425, -33.58605, "Mount Victoria Station; 119"
151.114612, -33.671849, "Mt Colah Station; 120"
150.819857, -33.769548, "Mt Druitt Station; 121"
151.136886, -33.653138, "Mt Kuring-Gai Station; 122"
151.209875, -33.876453, "Museum Station; 123"
151.347517, -33.399191, "Narara Station; 124"
151.069825, -33.947493, "Narwee Station; 125"
151.776093, -32.92544, "Newcastle Station; 126"
151.179551, -33.89792, "Newtown Station; 127"
151.09724, -33.720727, "Normanhurst Station; 128"
151.088062, -33.858902, "North Strathfield Station; 129"
151.207033, -33.841119, "North Sydney Station; 130"
150.60894, -34.855091, "Nowra Station; 131"
151.079029, -33.980833, "Oatley Station; 132"
151.069576, -33.846479, "Olympic Park Station; 133"
151.005964, -34.210425, "Otford Station; 134"
151.032295, -33.951919, "Padstow Station; 135"
150.997761, -33.954353, "Panania Station; 136"
151.005197, -33.817459, "Parramatta Station; 137"
150.956325, -33.801363, "Pendle Hill Station; 138"
151.072554, -33.737993, "Pennant Hills Station; 139"
150.696301, -33.750056, "Penrith Station; 140"
151.08935, -33.966141, "Penshurst Station; 141"
151.155279, -33.893925, "Petersham Station; 142"
151.327055, -33.447356, "Point Clare Station; 143"
150.900064, -34.477128, "Port Kembla Station; 144"
151.055667, -33.925439, "Punchbowl Station; 145"
151.141897, -33.744678, "Pymble Station; 146"
150.886656, -33.727938, "Quakers Hill Station; 147"
151.198393, -33.892174, "Redfern Station; 148"
151.024107, -33.883007, "Regents Park Station; 149"
151.014816, -33.952472, "Revesby Station; 150"
151.086968, -33.830527, "Rhodes Station; 151"
150.810211, -33.61558, "Richmond Station; 152"
150.860329, -33.679109, "Riverstone Station; 153"
151.052032, -33.951563, "Riverwood Station; 154"
151.136873, -33.951942, "Rockdale Station; 155"
